Year,Total Number
1884,8
1885,-
1886,-
1887,-
1888,1
1889,2
1890,3
1891,3
1892,1
1893,1
1894,1
1895,6
1896,6
1897,1
1898,1
1899,6
1900,5
1901,3
1902,1
1903,1
1904,-
1905,-
1906,6
1907,1
1908,3
1909,-
1910,-
1911,3
1912,1
1913,3
1914,6
1915,3
1916,2
1917,-
1918,-
1919,2
1920,3
1921,1
1922,1
1923,1
1924,3
1925,3
1926,3
1927,2
1928,7
1929,2
1930,2
1931,5
1932,-
1933,7
1934,10
1935,1
1936,4
1937,4
1938,4
1939,12
1947,3
1948,9
1949,1
1950,5
1951,2
1952,3
1953,12
1954,18
1955,6
1956,18
1957,12
1958,19
1959,7
1960,19
1961,16
1962,30
1963,37
1964,13
1965,7
1966,16
1967,28
1968,18
1969,19
1970,8
1971,10
1972,16
1973,3
1974,11
1975,2
1976,9
1977,17
1978,28
1979,14
1980,16
1981,5
1982,8
1983,13
1984,7
1985,2
1986,7
1987,9
1988,4
1989,15
1990,13
1991,12
1992,16
1993,6
1994,5
1995,7
1996,9
1997,5
1998,10
1999,6
2000,10
2001,9
2002,10
2003,14
2004,6
2005,12
2006,3
2007,25
2008,15
2009,30
2010,13
2011,19
2012,21
2013,17
2014,33
2015,28
2016,38
2017,29
2018,36
2019,33
2020,47
